day,year,mo,da,date,temp,dewp,slp,visib,wdsp,mxpsd,gust,max,min,prcp,sndp,fog,num_offences,other_offense,criminal_trespass,burglary,weapons_violation,kidnapping,deceptive_practice,officer_interference,sex_offense,theft,robbery,assault,child_offense,criminal_damage,battery,narcotics,vehicle_theft,crim_sexual_assault,peace_violation,stalking,criminal_sexual_assault,liquor_violation,obscenity,gambling,prostitution,arson,homicide,intimidation,public_indecency,other_narcotics,cc_violation,human_trafficking,non_criminal1,non_criminal2,ritualism,non_criminal3,domestic_violence
2,2013,01,01,2013-01-01,19.6,7.9,1021.3,9.9,8.5,12.0,18.1,35.1,12.9,0.0,999.9,0,1429,91,20,37,33,1,192,2,54,253,36,39,101,118,283,60,43,40,8,1,5,4,1,0,0,2,3,0,0,0,0,2,0,0,0,0,0
3,2013,01,02,2013-01-02,17.1,4.6,1021.9,10.0,6.3,11.1,999.9,30.0,10.0,0.0,999.9,0,750,59,23,42,10,1,40,4,1,183,23,39,3,80,92,87,46,1,1,2,0,1,0,0,10,0,2,0,0,0,0,0,0,0,0,0,0
4,2013,01,03,2013-01-03,25.8,18.6,1020.8,8.7,9.3,13.0,15.9,30.0,10.0,0.0,999.9,0,776,58,38,56,6,0,38,3,6,144,36,45,6,69,111,105,46,4,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5,2013,01,04,2013-01-04,22.5,14.5,1023.2,10.0,12.0,17.1,28.0,36.0,12.9,0.0,999.9,0,866,67,23,61,7,3,40,4,2,201,37,35,7,80,120,109,57,1,5,1,0,2,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0
6,2013,01,05,2013-01-05,29.1,22.8,1022.0,8.4,7.2,15.9,25.1,39.0,12.9,0.0,999.9,0,788,52,26,45,8,1,25,4,1,160,50,43,6,85,118,92,51,6,7,0,0,0,0,0,2,2,4,0,0,0,0,0,0,0,0,0,0
7,2013,01,06,2013-01-06,31.6,26.4,1017.0,8.1,12.7,15.9,24.1,39.0,18.1,0.03,999.9,0,698,47,12,30,9,1,14,4,1,147,25,45,5,78,130,100,32,5,8,0,0,1,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0
1,2013,01,07,2013-01-07,26.5,19.3,1025.2,9.2,9.6,19.0,28.0,41.0,15.1,0.0,999.9,0,819,66,17,62,9,1,56,1,2,171,50,52,6,79,112,75,43,6,7,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0
2,2013,01,08,2013-01-08,32.3,25.2,1020.0,8.5,7.3,12.0,999.9,44.1,15.1,0.0,999.9,0,755,61,29,58,11,0,32,0,2,161,39,44,9,76,82,88,45,0,6,0,0,0,0,0,9,1,2,0,0,0,0,0,0,0,0,0,0
3,2013,01,09,2013-01-09,40.0,27.2,1020.9,10.0,14.3,22.9,33.0,50.0,23.2,0.0,999.9,0,884,56,20,68,12,1,43,4,2,198,33,56,6,87,119,102,56,3,9,0,0,0,0,0,6,2,1,0,0,0,0,0,0,0,0,0,0
4,2013,01,10,2013-01-10,34.3,23.7,1029.7,10.0,5.9,14.0,999.9,50.0,21.9,0.0,999.9,0,849,53,15,76,12,0,44,4,0,194,41,51,7,79,101,87,56,5,11,1,0,1,0,0,3,2,4,2,0,0,0,0,0,0,0,0,0
5,2013,01,11,2013-01-11,45.9,44.5,1008.9,5.9,10.3,15.9,21.0,52.0,37.4,0.9,999.9,0,905,40,25,82,18,1,33,3,2,191,41,42,13,100,148,106,43,1,7,1,0,1,0,0,3,1,3,0,0,0,0,0,0,0,0,0,0
6,2013,01,12,2013-01-12,47.6,41.5,1009.1,10.0,13.8,19.0,25.1,53.1,34.0,0.03,999.9,0,763,41,25,35,9,0,33,2,0,166,38,36,4,91,147,81,42,4,6,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
7,2013,01,13,2013-01-13,27.8,23.5,1014.9,8.5,8.5,12.0,999.9,34.0,19.9,0.0,999.9,0,709,34,27,33,7,1,29,6,2,144,33,37,10,83,133,76,36,6,8,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0
1,2013,01,14,2013-01-14,17.0,8.7,1027.7,10.0,8.9,18.1,22.9,30.0,12.0,0.1,999.9,0,745,45,25,45,9,1,45,2,2,174,35,48,5,62,100,94,44,1,4,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0
