day,year,mo,da,date,temp,dewp,slp,visib,wdsp,mxpsd,gust,max,min,prcp,sndp,fog,num_offences,other_offense,criminal_trespass,burglary,weapons_violation,kidnapping,deceptive_practice,officer_interference,sex_offense,theft,robbery,assault,child_offense,criminal_damage,battery,narcotics,vehicle_theft,crim_sexual_assault,peace_violation,stalking,criminal_sexual_assault,liquor_violation,obscenity,gambling,prostitution,arson,homicide,intimidation,public_indecency,other_narcotics,cc_violation,human_trafficking,non_criminal1,non_criminal2,ritualism,non_criminal3,domestic_violence
4,2015,01,01,2015-01-01,19.9,6.0,1019.3,10.0,13.7,18.1,27.0,32.0,3.9,0.0,999.9,0,1238,93,19,16,23,0,220,3,49,154,32,39,151,93,199,43,23,60,3,1,11,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2015,01,02,2015-01-02,25.7,16.0,1023.3,10.0,5.1,14.0,19.0,34.0,14.0,0.0,999.9,0,674,42,16,33,7,0,52,5,1,130,36,35,4,65,116,86,25,3,7,0,0,0,1,0,8,1,0,1,0,0,0,0,0,0,0,0,0
6,2015,01,03,2015-01-03,31.5,27.0,1017.7,5.2,4.6,8.0,999.9,34.0,15.1,0.09,999.9,0,648,39,20,21,5,0,27,7,1,136,29,38,6,70,125,70,28,3,4,0,0,5,0,0,12,0,1,0,0,0,0,1,0,0,0,0,0
7,2015,01,04,2015-01-04,29.0,26.1,1012.9,3.2,10.3,22.0,27.0,34.0,12.9,0.57,2.0,1,514,37,14,16,5,1,19,7,2,108,19,34,3,42,111,66,14,4,4,0,0,0,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0
1,2015,01,05,2015-01-05,2.2,-7.4,1034.9,10.0,12.4,18.1,24.1,12.9,-2.9,0.04,2.0,0,523,33,15,38,6,0,42,1,3,123,17,36,5,35,89,43,24,2,6,0,0,0,0,0,2,0,1,1,1,0,0,0,0,0,0,0,0
2,2015,01,06,2015-01-06,5.3,-0.9,1028.6,7.4,9.0,20.0,25.1,10.0,-5.1,0.16,3.1,0,503,42,16,26,2,0,42,1,1,124,20,30,4,37,69,57,15,5,3,0,0,0,0,0,3,2,3,0,0,0,0,0,0,1,0,0,0
3,2015,01,07,2015-01-07,3.1,-7.6,1034.1,10.0,16.5,22.0,28.9,10.0,-5.1,0.01,3.1,0,474,40,13,24,4,0,40,1,0,101,18,23,4,36,78,61,24,0,2,1,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0
4,2015,01,08,2015-01-08,-2.1,-10.2,1035.1,8.2,13.1,22.0,32.1,10.9,-8.0,0.0,3.9,0,448,33,12,22,6,1,28,3,1,96,16,27,1,49,67,47,32,0,2,0,0,1,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0
5,2015,01,09,2015-01-09,8.1,-0.5,1022.9,6.7,15.5,24.1,34.0,18.0,-8.0,0.06,3.9,0,590,61,22,34,5,0,34,4,2,108,30,38,3,43,90,72,28,1,10,1,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0
6,2015,01,10,2015-01-10,4.8,-3.9,1030.4,10.0,10.5,19.0,22.0,19.0,-2.0,0.0,3.9,0,647,56,13,28,9,0,31,4,2,140,24,38,8,36,115,78,44,0,5,3,0,1,0,0,10,1,1,0,0,0,0,0,0,0,0,0,0
7,2015,01,11,2015-01-11,25.8,14.1,1025.1,9.6,9.4,15.0,999.9,32.0,19.0,0.0,3.9,0,650,48,23,30,9,0,22,4,3,147,26,33,6,57,132,69,23,4,7,1,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
1,2015,01,12,2015-01-12,23.1,16.3,1031.9,6.7,9.1,15.0,999.9,32.0,15.1,0.19,5.9,1,607,47,23,36,1,0,37,4,0,149,26,35,4,57,91,65,21,1,4,0,0,0,1,0,3,1,0,1,0,0,0,0,0,0,0,0,0
2,2015,01,13,2015-01-13,16.9,8.7,1039.0,8.5,8.9,15.0,20.0,28.0,14.0,0.0,5.9,0,612,42,15,36,4,0,40,2,1,141,32,47,2,45,92,77,21,1,4,0,0,0,0,0,7,0,2,1,0,0,0,0,0,0,0,0,0
3,2015,01,14,2015-01-14,10.5,5.8,1030.0,9.3,4.4,8.0,999.9,19.0,1.0,0.0,5.1,0,675,51,16,54,6,0,36,1,1,133,26,32,8,59,97,101,36,4,7,0,0,1,0,0,2,1,1,1,0,0,0,1,0,0,0,0,0
4,2015,01,15,2015-01-15,22.0,14.6,1019.9,9.9,8.5,14.0,19.0,34.0,1.0,0.0,5.1,0,763,44,17,57,14,0,45,5,3,164,33,38,8,64,94,131,30,5,5,0,0,2,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0
5,2015,01,16,2015-01-16,28.3,22.4,1019.5,9.8,6.7,11.1,17.1,34.0,17.1,0.0,3.9,0,710,49,22,34,8,1,43,2,2,167,16,38,9,73,118,79,27,2,8,0,0,1,0,2,7,0,1,1,0,0,0,0,0,0,0,0,0
