"","temp","wdsp","visib","num_offences"
"126",56.6,7.1,4.2,0.350874662876111
"127",58.4,8,8.3,-0.733925357291722
"128",60.3,5.4,6.2,0.586255799327622
"129",61.1,6.6,8.4,1.11842184695713
"130",56.9,7.8,9.8,0.627191649145276
"131",55.4,5.5,10,0.00291993942605163
"132",61,7.2,10,0.84210486068796
"133",64.5,9.8,10,0.166663338696668
"134",61,7,10,-0.98977441865206
"135",63.8,3.1,10,0.903508635414441
"136",71.3,9.3,10,1.28216524622774
"137",61.2,11.1,9.8,0.320172775512871
"138",59.7,4.8,10,0.391810512693765
"139",67.1,7.4,10,0.63742561159969
"140",75,7.8,10,0.156429376242254
"141",78.9,9.3,10,0.412278437602592
"142",65.1,11.7,10,-0.304098934206354
"143",60.2,6.5,10,0.350874662876111
"144",64.2,5,10,1.59941808231456
"145",75.7,13.6,10,1.0979539220483
"146",76.1,11,10,1.71199166931311
"147",69.6,9.2,10,-0.048249872846016
"148",79.2,8.2,10,0.1154935264246
"149",85.9,12.5,10,1.16959165922919
"150",78.1,10.8,10,1.82456525631166
"151",65,8.1,10,0.709063348780584
"152",51.4,9.8,8.8,-0.887434794107924
"154",61.2,9,10,0.28947088814963
"155",68.9,8.2,10,0.770467123507065
"156",70.2,7.5,10,0.657893536508517
"157",64.4,8,10,0.350874662876111
"158",64.8,6.5,10,1.10818788450271
"159",68.3,4,10,0.770467123507065
"160",72.9,5.7,10,2.02924450539993
"161",78.9,8.6,10,1.37427090831746
"162",80.3,9.8,10,0.944444485232095
"163",80.6,9.9,10,1.54824827004249
"164",73.7,10.2,10,1.77339544403959
"165",65.2,6.4,10,1.64035393213221
"166",70.5,7.5,10,0.647659574054103
"167",77.4,8.2,10,1.7017577068587
"168",81.5,8.8,10,1.49707845777043
"169",77.3,7.8,9,0.309938813058457
"170",81,12.4,10,1.55848223249691
"171",86,14.1,10,0.903508635414441
"172",86.1,13.3,10,1.86550110612931
"173",81.1,9.8,10,1.43567468304394
"174",76.4,6.7,10,2.09064828012641
"175",76.2,5.1,10,2.17251997976172
"176",78.9,4.7,10,1.65058789458663
"177",71.2,12.9,10,0.504384099692314
"178",70,5.2,9.6,0.422512400057006
"179",74.9,9.5,10,1.34356902095422
"180",87,9.9,10,0.238301075877563
"181",81.7,4.5,9.4,1.3231010960454
"182",79.3,5.5,9.7,0.975146372595336
"184",83.8,3.9,8.8,1.43567468304394
"185",86.7,8.3,10,1.4766105328616
"186",89.8,8.4,10,1.3231010960454
"187",89.5,6.5,10,0.964912410140922
"188",92.3,6.5,10,1.13888977186595
"189",86.9,8.7,10,1.50731242022484
"190",77.2,12.3,10,1.81433129385724
"191",77.9,5.2,10,1.52778034513367
"192",76.5,8.3,10,1.41520675813512
"193",75.7,7.5,10,1.16959165922919
"194",79.8,6.6,10,1.27193128377333
"195",81.1,7.8,9.3,1.72222563176752
"196",77.8,4.5,9,1.41520675813512
"197",80.9,6.7,10,2.14181809239848
"198",85.2,6.3,10,0.739765236143825
"199",89.2,8.8,10,0.903508635414441
"200",83.9,6.2,10,0.627191649145276
"201",77,8.8,8.8,0.0540897516981192
"202",74.7,10.8,9.9,1.59941808231456
"203",75.8,4.5,10,1.52778034513367
"204",79.4,4.3,10,0.709063348780584
"205",86.2,9.7,10,0.739765236143825
"206",80.6,6.8,9.6,0.524852024601141
"207",80.5,9.3,10,0.985380335049749
"208",83.3,10.7,9.8,0.616957686690863
"209",75.4,6,10,1.27193128377333
"210",74.4,7.7,10,1.31286713359098
"211",74.3,4.7,10,1.03655014732182
"212",80.1,6.2,10,0.852338823142374
"213",79.6,6.5,10,0.176897301151081
"214",77.7,3.4,10,1.96784073067345
"215",79.9,5.6,10,1.05701807223064
"216",82,5.5,9.4,1.48684449531601
"217",81.3,5.8,9.6,0.862572785596787
"218",74.7,8.3,10,0.473682212329073
