day,year,mo,da,date,temp,dewp,slp,visib,wdsp,mxpsd,gust,max,min,prcp,sndp,fog,num_offences,other_offense,criminal_trespass,burglary,weapons_violation,kidnapping,deceptive_practice,officer_interference,sex_offense,theft,robbery,assault,child_offense,criminal_damage,battery,narcotics,vehicle_theft,crim_sexual_assault,peace_violation,stalking,criminal_sexual_assault,liquor_violation,obscenity,gambling,prostitution,arson,homicide,intimidation,public_indecency,other_narcotics,cc_violation,human_trafficking,non_criminal1,non_criminal2,ritualism,non_criminal3,domestic_violence
7,2017,01,01,2017-01-01,27.4,18.8,1018.0,9.5,4.5,11.1,15.9,39.9,18.0,0.0,999.9,0,1207,77,15,23,9,1,194,3,48,185,42,46,140,115,207,12,34,35,6,0,10,0,1,0,0,0,2,1,0,0,0,1,0,0,0,0,0
1,2017,01,02,2017-01-02,34.0,27.9,1020.0,7.2,5.2,8.0,999.9,39.9,17.1,0.0,999.9,0,613,45,17,30,12,1,54,3,5,120,33,38,4,73,105,28,37,2,1,1,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0
2,2017,01,03,2017-01-03,38.2,36.9,1010.5,2.4,5.9,18.1,22.9,39.9,25.2,0.11,999.9,1,718,43,17,43,8,0,77,1,3,148,36,55,5,82,114,38,34,1,5,2,0,0,0,0,0,1,2,2,0,0,1,0,0,0,0,0,0
3,2017,01,04,2017-01-04,18.2,9.0,1015.7,9.7,14.9,18.1,28.0,39.0,9.0,0.0,999.9,0,612,54,17,30,5,0,59,2,0,161,29,34,4,57,95,25,32,1,0,0,0,0,0,0,2,1,2,0,0,0,2,0,0,0,0,0,0
4,2017,01,05,2017-01-05,9.3,-1.5,1018.4,9.9,11.5,17.1,19.0,19.0,6.1,0.0,999.9,0,611,57,16,30,5,0,64,4,2,132,29,42,1,68,83,25,44,3,2,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0
5,2017,01,06,2017-01-06,4.4,-6.4,1023.4,10.0,10.2,14.0,999.9,12.9,0.0,0.0,999.9,0,601,41,12,35,9,3,46,2,0,123,31,44,9,68,81,29,57,3,6,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
6,2017,01,07,2017-01-07,6.5,-4.8,1032.5,10.0,8.0,14.0,22.0,18.0,0.0,0.0,999.9,0,618,45,20,28,5,0,44,2,1,120,36,42,4,62,120,32,45,5,3,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0
7,2017,01,08,2017-01-08,9.2,-4.2,1038.7,10.0,8.2,13.0,21.0,18.0,0.0,0.0,999.9,0,591,54,20,21,9,0,28,4,0,105,35,45,1,70,115,25,47,2,4,1,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,2017,01,09,2017-01-09,21.5,10.5,1027.9,9.7,11.1,17.1,21.0,28.0,3.0,0.0,999.9,0,713,51,17,57,14,0,58,3,0,158,27,38,8,91,91,37,53,3,2,0,0,1,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0
2,2017,01,10,2017-01-10,37.5,32.2,1007.7,8.5,18.0,31.1,46.0,51.8,27.0,0.03,999.9,0,705,57,20,52,7,0,68,2,2,152,35,47,8,94,105,21,25,7,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3,2017,01,11,2017-01-11,31.6,26.3,1010.9,8.3,12.1,27.0,39.0,51.1,25.0,0.19,999.9,1,663,54,23,33,11,0,57,3,1,147,34,38,8,57,119,30,36,3,4,1,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0
4,2017,01,12,2017-01-12,26.1,23.2,1015.9,6.0,10.9,19.0,21.0,43.0,21.0,0.33,999.9,0,644,71,17,40,12,0,44,2,2,151,33,42,8,61,94,24,30,1,2,1,1,1,0,0,4,1,1,1,0,0,0,0,0,0,0,0,0
5,2017,01,13,2017-01-13,19.9,9.7,1037.4,10.0,8.5,11.1,999.9,28.0,16.0,0.05,999.9,0,800,58,27,62,9,0,63,3,1,188,47,45,6,74,115,38,48,4,1,0,0,0,0,0,5,2,3,1,0,0,0,0,0,0,0,0,0
6,2017,01,14,2017-01-14,28.9,19.3,1034.4,9.9,4.9,8.9,999.9,35.1,16.0,0.0,999.9,0,685,52,16,26,13,0,49,2,3,136,32,48,5,80,118,38,40,6,3,0,1,1,0,0,8,3,3,1,0,0,1,0,0,0,0,0,0
7,2017,01,15,2017-01-15,26.0,17.5,1030.7,9.6,2.4,6.0,999.9,36.0,19.9,0.0,999.9,0,656,43,13,38,17,0,42,3,1,149,43,34,5,70,127,29,30,4,5,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0
1,2017,01,16,2017-01-16,32.6,28.2,1025.1,5.7,3.7,8.9,999.9,36.0,19.9,0.04,999.9,0,652,40,15,43,9,0,41,1,0,165,32,46,4,68,119,21,31,7,5,0,0,0,0,0,1,0,3,0,1,0,0,0,0,0,0,0,0
2,2017,01,17,2017-01-17,37.2,36.2,1012.6,4.2,7.4,11.1,999.9,39.0,30.2,1.34,999.9,0,705,43,23,42,10,0,61,3,2,186,30,52,5,81,89,31,28,4,3,1,2,0,0,0,7,0,2,0,0,0,0,0,0,0,0,0,0
3,2017,01,18,2017-01-18,34.7,32.9,1018.3,5.1,9.2,13.0,19.0,39.0,33.1,0.48,999.9,0,707,52,19,66,14,0,61,4,1,166,28,47,4,68,98,24,42,4,2,0,0,1,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0
4,2017,01,19,2017-01-19,35.8,33.4,1015.8,4.2,5.7,8.9,15.0,42.8,30.0,0.0,999.9,0,738,51,14,33,6,0,63,1,3,169,36,47,6,82,105,56,39,4,4,0,0,1,1,0,11,3,3,0,0,0,0,0,0,0,0,0,0
5,2017,01,20,2017-01-20,39.0,37.6,1005.5,2.7,6.2,9.9,999.9,42.1,30.2,0.61,999.9,0,783,54,16,47,7,0,49,3,2,186,42,49,6,94,122,45,36,2,11,1,0,0,0,0,6,3,2,0,0,0,0,0,0,0,0,0,0
6,2017,01,21,2017-01-21,48.2,44.3,1000.4,4.6,7.2,14.0,20.0,59.0,37.9,0.03,999.9,1,786,49,18,33,21,0,45,5,4,193,42,51,3,98,139,37,31,5,1,1,0,0,0,0,6,1,3,0,0,0,0,0,0,0,0,0,0
7,2017,01,22,2017-01-22,42.8,39.6,1002.6,6.7,4.2,8.0,999.9,59.0,37.9,0.0,999.9,1,742,63,22,33,12,0,31,5,1,169,35,45,6,80,143,33,31,6,5,1,1,1,0,1,12,4,2,0,0,0,0,0,0,0,0,0,0
1,2017,01,23,2017-01-23,39.4,36.1,1006.5,8.3,7.9,12.0,18.1,46.0,37.0,0.01,999.9,0,789,46,11,56,14,0,63,1,4,197,33,54,4,102,128,29,30,0,9,2,0,0,0,0,0,1,4,1,0,0,0,0,0,0,0,0,0
2,2017,01,24,2017-01-24,36.6,32.7,1010.8,9.9,5.7,8.9,999.9,42.1,34.0,0.0,999.9,0,736,51,25,43,9,0,61,1,1,182,27,45,8,99,113,28,29,3,4,2,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0
3,2017,01,25,2017-01-25,37.2,34.3,1005.3,5.2,9.6,17.1,22.9,42.1,35.1,0.05,999.9,0,748,48,19,60,13,1,59,2,3,189,30,52,10,67,118,26,44,2,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
4,2017,01,26,2017-01-26,33.2,29.6,1006.0,8.4,11.3,17.1,21.0,42.1,30.0,0.04,999.9,0,675,39,26,43,10,0,46,5,2,170,34,53,7,51,102,34,47,2,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5,2017,01,27,2017-01-27,27.8,20.6,1012.7,9.8,12.4,17.1,24.1,34.0,24.1,0.0,999.9,0,784,60,17,52,14,0,71,2,1,175,33,40,8,65,121,59,47,5,4,1,0,2,0,0,3,1,2,0,0,0,0,0,1,0,0,0,0
6,2017,01,28,2017-01-28,26.7,20.2,1009.0,9.2,11.0,15.0,24.1,30.9,24.1,0.0,999.9,0,731,37,18,44,18,0,50,3,1,169,34,44,4,91,128,35,40,3,4,0,0,2,0,0,1,4,1,0,0,0,0,0,0,0,0,0,0
7,2017,01,29,2017-01-29,26.8,16.5,1010.2,9.2,8.9,15.0,24.1,28.9,24.1,0.0,999.9,0,634,39,18,30,11,1,30,3,5,127,32,24,7,96,118,36,37,4,4,0,0,0,0,0,7,3,1,0,0,0,1,0,0,0,0,0,0
1,2017,01,30,2017-01-30,22.1,9.7,1014.0,10.0,8.5,15.0,999.9,30.0,15.1,0.0,999.9,0,757,46,26,52,13,1,72,3,1,171,32,35,10,82,137,24,38,4,4,0,0,0,0,0,0,3,2,1,0,0,0,0,0,0,0,0,0
