day,year,mo,da,date,temp,dewp,slp,visib,wdsp,mxpsd,gust,max,min,prcp,sndp,fog,num_offences
5,2016,01,01,2016-01-01,23.4,16.5,1023.1,9.8,12.4,18.1,22.9,30.0,19.0,0.02,1.2,0,1177
6,2016,01,02,2016-01-02,27.0,19.4,1019.0,10.0,9.6,15.0,22.0,32.0,19.0,0.06,1.2,0,576
7,2016,01,03,2016-01-03,26.8,19.3,1018.4,10.0,11.4,17.1,28.0,32.0,21.9,0.0,1.2,0,618
1,2016,01,04,2016-01-04,26.9,18.5,1028.9,9.6,9.5,13.0,999.9,30.9,21.9,0.0,1.2,0,626
2,2016,01,05,2016-01-05,25.5,17.0,1033.7,10.0,8.2,15.0,999.9,33.1,17.1,0.0,1.2,0,627
3,2016,01,06,2016-01-06,28.3,20.9,1026.8,10.0,7.5,11.1,999.9,36.0,17.1,0.0,1.2,0,628
4,2016,01,07,2016-01-07,36.0,26.4,1020.3,10.0,6.7,9.9,999.9,41.0,21.2,0.0,1.2,0,707
5,2016,01,08,2016-01-08,38.5,34.2,1012.3,6.3,6.6,11.1,999.9,42.1,34.0,0.02,1.2,0,744
6,2016,01,09,2016-01-09,37.1,36.6,1008.3,2.6,5.2,11.1,999.9,42.1,32.0,0.18,1.2,1,650
7,2016,01,10,2016-01-10,19.0,14.2,1012.3,8.3,15.8,21.0,28.0,39.9,6.1,0.27,1.2,0,597
1,2016,01,11,2016-01-11,5.1,-1.6,1019.0,8.9,8.7,15.0,19.0,23.0,-0.9,0.0,1.2,0,513
2,2016,01,12,2016-01-12,14.0,7.1,1014.3,6.5,14.6,22.9,29.9,24.1,-0.9,0.12,3.1,0,548
3,2016,01,13,2016-01-13,6.7,-0.8,1020.3,10.0,8.6,14.0,20.0,21.0,-2.0,0.01,2.0,0,654
4,2016,01,14,2016-01-14,30.6,23.7,1006.9,10.0,7.7,12.0,999.9,42.1,21.0,0.0,1.2,0,734
5,2016,01,15,2016-01-15,39.9,35.4,997.9,9.2,11.4,17.1,24.1,44.1,24.3,0.0,2.0,0,734
6,2016,01,16,2016-01-16,28.4,21.3,1008.5,9.3,11.9,17.1,21.0,43.0,24.1,0.01,999.9,0,652
