day,year,mo,da,date,temp,dewp,slp,visib,wdsp,mxpsd,gust,max,min,prcp,sndp,fog,num_offences
5,2017,05,12,2017-05-12,58.6,41.2,1014.5,10.0,5.3,12.0,999.9,73.0,45.0,0.0,999.9,0,849
6,2017,05,13,2017-05-13,62.1,44.0,1012.1,10.0,7.2,15.9,24.1,82.0,45.0,0.0,999.9,0,724
7,2017,05,14,2017-05-14,62.4,43.9,1011.5,10.0,6.3,14.0,999.9,82.0,46.9,0.0,999.9,0,712
1,2017,05,15,2017-05-15,62.5,42.9,1013.9,10.0,7.5,13.0,999.9,82.0,50.0,0.0,999.9,0,871
2,2017,05,16,2017-05-16,74.1,57.7,1008.9,10.0,10.2,20.0,29.9,87.1,50.0,0.02,999.9,0,748
3,2017,05,17,2017-05-17,78.3,58.2,1004.5,10.0,16.7,27.0,39.0,87.1,61.0,0.0,999.9,0,835
4,2017,05,18,2017-05-18,74.0,57.7,1005.2,9.8,18.1,27.0,42.9,84.0,62.1,0.37,999.9,0,775
5,2017,05,19,2017-05-19,48.0,40.7,1018.7,9.4,15.6,21.0,29.9,73.9,43.0,0.0,999.9,0,776
6,2017,05,20,2017-05-20,51.4,44.6,1018.1,8.5,10.9,15.0,20.0,64.0,43.0,0.23,999.9,0,664
7,2017,05,21,2017-05-21,60.8,52.9,1013.0,7.7,9.1,17.1,25.1,64.9,48.0,0.39,999.9,0,791
1,2017,05,22,2017-05-22,57.5,42.6,1015.4,10.0,11.4,15.9,26.0,73.0,48.0,0.05,999.9,0,797
2,2017,05,23,2017-05-23,60.7,53.3,1009.3,9.1,7.4,15.9,21.0,73.0,48.0,0.01,999.9,0,739
3,2017,05,24,2017-05-24,56.9,51.7,1002.6,7.9,10.1,19.0,24.1,62.1,53.1,0.5,999.9,0,762
4,2017,05,25,2017-05-25,58.8,50.7,1002.0,10.0,10.6,15.9,22.9,69.1,53.1,0.17,999.9,0,763
5,2017,05,26,2017-05-26,60.2,51.4,1009.0,9.2,5.2,12.0,999.9,71.1,52.0,0.0,999.9,0,767
6,2017,05,27,2017-05-27,61.7,52.8,1011.5,9.4,5.4,12.0,999.9,78.1,52.0,0.53,999.9,0,800
7,2017,05,28,2017-05-28,67.6,55.0,1007.7,9.6,5.4,14.0,20.0,78.1,52.0,0.0,999.9,0,705
1,2017,05,29,2017-05-29,68.7,46.6,1008.2,10.0,10.5,22.0,33.0,77.0,55.9,0.0,999.9,0,768
2,2017,05,30,2017-05-30,64.2,44.3,1012.7,10.0,9.5,21.0,31.1,77.0,54.0,0.0,999.9,0,814
3,2017,05,31,2017-05-31,63.8,43.5,1014.3,10.0,9.3,15.9,22.0,73.9,52.0,0.0,999.9,0,739
4,2017,06,01,2017-06-01,66.4,40.6,1016.9,10.0,4.8,9.9,999.9,81.0,51.1,0.0,999.9,0,895
5,2017,06,02,2017-06-02,70.5,41.5,1017.5,10.0,4.0,9.9,21.0,86.0,51.1,0.0,999.9,0,841
6,2017,06,03,2017-06-03,73.4,48.6,1015.8,10.0,5.4,13.0,999.9,86.0,53.1,0.0,999.9,0,823
7,2017,06,04,2017-06-04,80.1,58.5,1010.1,10.0,7.5,13.0,21.0,91.9,57.0,0.0,999.9,0,820
1,2017,06,05,2017-06-05,70.0,55.7,1008.9,10.0,9.9,21.0,27.0,91.9,62.1,0.0,999.9,0,737
2,2017,06,06,2017-06-06,64.5,44.5,1015.9,10.0,12.6,19.0,26.0,75.9,54.0,0.0,999.9,0,826
3,2017,06,07,2017-06-07,66.7,43.7,1019.0,10.0,8.9,15.0,999.9,77.0,54.0,0.0,999.9,0,788
4,2017,06,08,2017-06-08,69.1,42.9,1016.1,10.0,3.3,9.9,999.9,82.9,53.1,0.0,999.9,0,769
5,2017,06,09,2017-06-09,74.3,52.7,1008.5,9.9,7.5,12.0,15.9,87.1,53.1,0.06,999.9,0,816
6,2017,06,10,2017-06-10,75.6,53.9,1009.5,10.0,9.9,20.0,31.1,90.0,64.0,0.0,999.9,0,785
7,2017,06,11,2017-06-11,81.8,55.9,1011.3,10.0,13.1,19.0,26.0,93.0,64.0,0.0,999.9,0,813
1,2017,06,12,2017-06-12,85.0,60.5,1012.2,10.0,11.6,18.1,21.0,95.0,73.0,0.0,999.9,0,742
2,2017,06,13,2017-06-13,79.9,62.5,1013.4,10.0,6.5,15.0,25.1,95.0,68.0,0.0,999.9,0,809
3,2017,06,14,2017-06-14,77.3,64.4,1012.0,9.6,7.9,22.0,28.9,91.9,68.0,0.0,999.9,0,769
4,2017,06,15,2017-06-15,76.2,64.4,1009.8,9.5,8.1,18.1,25.1,91.9,68.0,0.6,999.9,0,823
5,2017,06,16,2017-06-16,76.8,59.9,1008.5,9.8,8.8,26.0,34.0,91.0,66.9,0.27,999.9,0,835
6,2017,06,17,2017-06-17,78.0,66.7,1003.6,9.8,8.7,15.0,22.0,87.1,66.9,0.12,999.9,0,827
7,2017,06,18,2017-06-18,74.4,63.6,1002.6,10.0,10.0,19.0,28.0,87.1,69.1,0.31,999.9,0,786
1,2017,06,19,2017-06-19,70.2,54.4,1008.5,10.0,9.3,25.1,31.1,80.1,63.0,0.0,999.9,0,745
2,2017,06,20,2017-06-20,67.2,52.8,1013.2,10.0,9.0,15.9,22.0,80.1,57.9,0.03,999.9,0,803
3,2017,06,21,2017-06-21,67.7,53.1,1014.0,10.0,5.5,11.1,999.9,80.1,55.0,0.0,999.9,0,786
4,2017,06,22,2017-06-22,78.5,63.5,1009.7,10.0,10.7,18.1,27.0,88.0,55.0,0.0,999.9,0,818
5,2017,06,23,2017-06-23,76.9,62.2,1005.1,9.7,10.7,21.0,28.0,88.0,66.9,0.71,999.9,0,778
6,2017,06,24,2017-06-24,69.6,51.5,1012.1,10.0,11.0,20.0,27.0,82.9,61.0,0.0,999.9,0,819
7,2017,06,25,2017-06-25,64.0,46.6,1017.9,9.9,11.0,19.0,24.1,75.0,54.0,0.02,999.9,0,796
1,2017,06,26,2017-06-26,64.0,46.1,1018.5,10.0,10.5,20.0,28.9,75.0,54.0,0.0,999.9,0,787
2,2017,06,27,2017-06-27,64.6,44.4,1018.7,10.0,7.0,18.1,22.0,78.1,50.0,0.0,999.9,0,772
3,2017,06,28,2017-06-28,67.6,50.8,1014.3,9.7,11.1,24.1,28.9,80.1,50.0,0.0,999.9,0,707
4,2017,06,29,2017-06-29,74.4,63.8,1008.1,9.6,12.2,19.0,27.0,81.0,57.9,1.3,999.9,1,776
5,2017,06,30,2017-06-30,73.0,65.3,1009.6,8.4,5.7,9.9,999.9,84.0,64.0,0.02,999.9,0,778
6,2017,07,01,2017-07-01,75.1,60.1,1011.1,10.0,8.5,15.9,24.1,84.0,66.0,0.0,999.9,0,934
7,2017,07,02,2017-07-02,74.4,56.3,1015.6,10.0,9.0,15.9,25.1,89.1,62.1,0.0,999.9,0,780
1,2017,07,03,2017-07-03,73.0,62.2,1016.5,10.0,6.7,13.0,15.9,89.1,62.1,0.0,999.9,0,864
2,2017,07,04,2017-07-04,72.3,61.2,1017.9,10.0,7.0,11.1,999.9,82.9,64.0,0.04,999.9,0,796
3,2017,07,05,2017-07-05,76.2,61.3,1018.6,9.5,5.4,13.0,999.9,89.1,64.0,0.0,999.9,0,859
4,2017,07,06,2017-07-06,80.7,64.0,1015.3,10.0,4.5,13.0,999.9,93.0,64.9,0.0,999.9,0,781
5,2017,07,07,2017-07-07,80.9,66.0,1011.0,9.8,8.7,14.0,18.1,93.0,69.1,0.0,999.9,0,758
6,2017,07,08,2017-07-08,70.5,55.3,1015.0,10.0,6.6,18.1,24.1,89.1,62.1,0.0,999.9,0,759
7,2017,07,09,2017-07-09,73.4,51.8,1016.4,10.0,6.1,11.1,18.1,86.0,62.1,0.0,999.9,0,823
1,2017,07,10,2017-07-10,77.0,66.1,1010.0,9.5,7.2,20.0,29.9,86.0,63.0,0.35,999.9,0,779
2,2017,07,11,2017-07-11,76.4,68.3,1010.6,9.5,4.3,12.0,999.9,84.9,66.9,0.38,999.9,0,769
3,2017,07,12,2017-07-12,75.4,70.0,1011.5,8.9,9.4,25.1,34.0,84.9,68.0,0.59,999.9,0,691
4,2017,07,13,2017-07-13,78.2,69.2,1013.6,9.9,8.7,14.0,17.1,82.9,72.0,1.74,999.9,0,820
5,2017,07,14,2017-07-14,70.9,59.7,1018.1,10.0,8.3,12.0,999.9,82.9,64.9,0.0,999.9,0,798
6,2017,07,15,2017-07-15,69.7,58.2,1020.0,10.0,4.7,8.9,14.0,81.0,60.1,0.0,999.9,0,889
7,2017,07,16,2017-07-16,71.8,61.5,1016.1,10.0,9.6,19.0,27.0,81.0,60.1,0.0,999.9,0,812
1,2017,07,17,2017-07-17,67.4,56.2,1017.1,10.0,6.1,11.1,999.9,79.0,55.9,0.0,999.9,0,847
2,2017,07,18,2017-07-18,73.7,59.2,1017.2,9.0,3.6,8.0,999.9,89.1,55.9,0.0,999.9,0,792
3,2017,07,19,2017-07-19,80.5,68.1,1017.4,10.0,5.8,11.1,999.9,89.1,60.1,0.0,999.9,0,769
4,2017,07,20,2017-07-20,76.7,69.0,1014.9,9.1,8.6,25.1,36.9,88.0,69.1,1.4,999.9,0,761
5,2017,07,21,2017-07-21,79.7,69.7,1014.2,9.7,4.9,20.0,28.9,89.1,70.0,0.85,999.9,1,758
6,2017,07,22,2017-07-22,77.4,69.7,1009.2,9.0,7.5,18.1,26.0,89.1,72.0,2.08,999.9,0,755
7,2017,07,23,2017-07-23,78.8,67.5,1008.4,9.6,5.0,22.0,28.9,90.0,70.0,0.01,999.9,0,842
1,2017,07,24,2017-07-24,70.6,60.1,1014.3,10.0,9.4,17.1,22.0,73.0,66.0,0.21,999.9,0,782
2,2017,07,25,2017-07-25,71.2,57.7,1020.7,10.0,6.6,14.0,999.9,82.0,61.0,0.0,999.9,0,850
3,2017,07,26,2017-07-26,74.9,62.1,1018.1,9.9,6.8,12.0,999.9,84.9,64.9,0.0,999.9,0,752
4,2017,07,27,2017-07-27,77.9,68.0,1013.3,8.6,8.6,18.1,22.9,84.9,64.9,0.03,999.9,0,790
5,2017,07,28,2017-07-28,73.6,60.1,1014.3,10.0,12.0,18.1,22.0,82.0,69.1,0.0,999.9,0,851
6,2017,07,29,2017-07-29,72.0,53.6,1018.5,10.0,9.8,18.1,21.0,79.0,64.0,0.0,999.9,0,800
7,2017,07,30,2017-07-30,73.3,57.5,1021.4,10.0,5.3,11.1,999.9,84.0,62.1,0.0,999.9,0,818
1,2017,07,31,2017-07-31,75.7,57.2,1021.5,10.0,2.5,8.0,999.9,86.0,62.1,0.0,999.9,0,794
2,2017,08,01,2017-08-01,76.5,61.2,1018.4,10.0,3.7,15.9,35.0,86.0,66.9,0.0,999.9,0,961
