day,year,mo,da,date,temp,dewp,slp,visib,wdsp,mxpsd,gust,max,min,prcp,sndp,fog,num_offences
7,2017,01,01,2017-01-01,27.4,18.8,1018.0,9.5,4.5,11.1,15.9,39.9,18.0,0.0,999.9,0,1207
1,2017,01,02,2017-01-02,34.0,27.9,1020.0,7.2,5.2,8.0,999.9,39.9,17.1,0.0,999.9,0,613
2,2017,01,03,2017-01-03,38.2,36.9,1010.5,2.4,5.9,18.1,22.9,39.9,25.2,0.11,999.9,1,718
3,2017,01,04,2017-01-04,18.2,9.0,1015.7,9.7,14.9,18.1,28.0,39.0,9.0,0.0,999.9,0,612
4,2017,01,05,2017-01-05,9.3,-1.5,1018.4,9.9,11.5,17.1,19.0,19.0,6.1,0.0,999.9,0,611
5,2017,01,06,2017-01-06,4.4,-6.4,1023.4,10.0,10.2,14.0,999.9,12.9,0.0,0.0,999.9,0,601
6,2017,01,07,2017-01-07,6.5,-4.8,1032.5,10.0,8.0,14.0,22.0,18.0,0.0,0.0,999.9,0,618
7,2017,01,08,2017-01-08,9.2,-4.2,1038.7,10.0,8.2,13.0,21.0,18.0,0.0,0.0,999.9,0,591
1,2017,01,09,2017-01-09,21.5,10.5,1027.9,9.7,11.1,17.1,21.0,28.0,3.0,0.0,999.9,0,713
2,2017,01,10,2017-01-10,37.5,32.2,1007.7,8.5,18.0,31.1,46.0,51.8,27.0,0.03,999.9,0,705
3,2017,01,11,2017-01-11,31.6,26.3,1010.9,8.3,12.1,27.0,39.0,51.1,25.0,0.19,999.9,1,663
4,2017,01,12,2017-01-12,26.1,23.2,1015.9,6.0,10.9,19.0,21.0,43.0,21.0,0.33,999.9,0,644
5,2017,01,13,2017-01-13,19.9,9.7,1037.4,10.0,8.5,11.1,999.9,28.0,16.0,0.05,999.9,0,800
6,2017,01,14,2017-01-14,28.9,19.3,1034.4,9.9,4.9,8.9,999.9,35.1,16.0,0.0,999.9,0,685
7,2017,01,15,2017-01-15,26.0,17.5,1030.7,9.6,2.4,6.0,999.9,36.0,19.9,0.0,999.9,0,656
1,2017,01,16,2017-01-16,32.6,28.2,1025.1,5.7,3.7,8.9,999.9,36.0,19.9,0.04,999.9,0,652
2,2017,01,17,2017-01-17,37.2,36.2,1012.6,4.2,7.4,11.1,999.9,39.0,30.2,1.34,999.9,0,705
3,2017,01,18,2017-01-18,34.7,32.9,1018.3,5.1,9.2,13.0,19.0,39.0,33.1,0.48,999.9,0,707
4,2017,01,19,2017-01-19,35.8,33.4,1015.8,4.2,5.7,8.9,15.0,42.8,30.0,0.0,999.9,0,738
5,2017,01,20,2017-01-20,39.0,37.6,1005.5,2.7,6.2,9.9,999.9,42.1,30.2,0.61,999.9,0,783
6,2017,01,21,2017-01-21,48.2,44.3,1000.4,4.6,7.2,14.0,20.0,59.0,37.9,0.03,999.9,1,786
7,2017,01,22,2017-01-22,42.8,39.6,1002.6,6.7,4.2,8.0,999.9,59.0,37.9,0.0,999.9,1,742
1,2017,01,23,2017-01-23,39.4,36.1,1006.5,8.3,7.9,12.0,18.1,46.0,37.0,0.01,999.9,0,789
2,2017,01,24,2017-01-24,36.6,32.7,1010.8,9.9,5.7,8.9,999.9,42.1,34.0,0.0,999.9,0,736
3,2017,01,25,2017-01-25,37.2,34.3,1005.3,5.2,9.6,17.1,22.9,42.1,35.1,0.05,999.9,0,748
4,2017,01,26,2017-01-26,33.2,29.6,1006.0,8.4,11.3,17.1,21.0,42.1,30.0,0.04,999.9,0,675
5,2017,01,27,2017-01-27,27.8,20.6,1012.7,9.8,12.4,17.1,24.1,34.0,24.1,0.0,999.9,0,784
6,2017,01,28,2017-01-28,26.7,20.2,1009.0,9.2,11.0,15.0,24.1,30.9,24.1,0.0,999.9,0,731
7,2017,01,29,2017-01-29,26.8,16.5,1010.2,9.2,8.9,15.0,24.1,28.9,24.1,0.0,999.9,0,634
1,2017,01,30,2017-01-30,22.1,9.7,1014.0,10.0,8.5,15.0,999.9,30.0,15.1,0.0,999.9,0,757
2,2017,01,31,2017-01-31,36.0,29.3,1004.7,9.6,13.6,21.0,27.0,39.0,15.1,0.04,999.9,0,734
3,2017,02,01,2017-02-01,34.6,25.7,1015.8,9.7,10.6,15.9,24.1,39.0,30.0,0.03,999.9,0,847
4,2017,02,02,2017-02-02,20.6,6.9,1027.1,10.0,12.1,17.1,24.1,37.9,14.0,0.0,999.9,0,671
5,2017,02,03,2017-02-03,19.1,3.5,1030.6,10.0,10.6,15.0,22.9,28.0,14.0,0.0,999.9,0,670
6,2017,02,04,2017-02-04,21.6,5.5,1028.0,10.0,8.6,17.1,24.1,33.1,10.0,0.0,999.9,0,638
7,2017,02,05,2017-02-05,32.7,17.2,1014.5,10.0,11.0,20.0,27.0,37.9,12.0,0.0,999.9,0,695
1,2017,02,06,2017-02-06,33.5,26.3,1015.4,9.0,4.9,11.1,999.9,55.0,21.0,0.0,999.9,0,762
2,2017,02,07,2017-02-07,43.8,43.1,998.7,2.8,6.4,17.1,28.9,50.0,41.0,0.24,999.9,1,693
3,2017,02,08,2017-02-08,30.7,23.1,1011.0,8.9,10.6,15.9,27.0,50.0,25.0,0.23,999.9,0,666
4,2017,02,09,2017-02-09,19.0,4.2,1023.3,10.0,11.3,15.0,21.0,32.0,12.9,0.0,999.9,0,668
5,2017,02,10,2017-02-10,25.7,13.5,1018.6,10.0,12.0,24.1,29.9,39.9,12.9,0.0,999.9,0,745
6,2017,02,11,2017-02-11,40.9,33.2,1009.8,9.3,5.0,9.9,999.9,48.9,34.0,0.0,999.9,0,704
7,2017,02,12,2017-02-12,39.3,28.8,1016.5,9.4,12.9,28.0,36.9,48.9,34.0,0.0,999.9,0,678
1,2017,02,13,2017-02-13,34.6,19.9,1025.7,10.0,9.5,19.0,20.0,46.9,25.0,0.0,999.9,0,718
2,2017,02,14,2017-02-14,39.7,26.4,1011.8,10.0,10.9,15.9,21.0,50.0,25.2,0.0,999.9,0,713
3,2017,02,15,2017-02-15,33.2,17.2,1010.8,10.0,12.1,17.1,24.1,50.0,26.1,0.0,999.9,0,673
4,2017,02,16,2017-02-16,33.4,12.8,1013.1,10.0,7.0,12.0,999.9,41.0,27.0,0.0,999.9,0,671
5,2017,02,17,2017-02-17,43.2,28.4,1005.5,10.0,6.9,14.0,20.0,66.9,27.0,0.0,999.9,0,832
6,2017,02,18,2017-02-18,57.5,35.4,1004.8,10.0,7.9,9.9,15.9,70.0,44.1,0.0,999.9,0,748
7,2017,02,19,2017-02-19,51.1,33.6,1013.8,9.7,2.8,8.9,999.9,70.0,35.1,0.0,999.9,0,674
1,2017,02,20,2017-02-20,53.0,39.8,1018.3,8.1,8.0,19.0,24.1,70.0,35.1,0.0,999.9,0,711
2,2017,02,21,2017-02-21,60.1,49.8,1012.9,8.5,8.4,15.0,22.9,70.0,41.0,0.03,999.9,0,679
3,2017,02,22,2017-02-22,57.7,51.9,1008.1,6.0,7.4,15.9,22.9,68.0,48.9,0.01,999.9,1,703
4,2017,02,23,2017-02-23,51.6,44.2,1006.0,9.8,10.5,17.1,25.1,68.0,37.9,0.0,999.9,0,655
5,2017,02,24,2017-02-24,39.4,36.7,1002.4,7.1,12.0,18.1,26.0,39.9,37.9,0.31,999.9,0,660
6,2017,02,25,2017-02-25,29.3,21.6,1007.9,8.7,12.6,19.0,26.0,39.9,23.0,0.05,999.9,0,599
7,2017,02,26,2017-02-26,32.3,17.2,1016.2,10.0,11.1,21.0,33.0,48.9,21.0,0.0,999.9,0,576
1,2017,02,27,2017-02-27,41.1,27.7,1019.1,10.0,7.0,14.0,22.0,54.0,21.2,0.0,999.9,0,633
2,2017,02,28,2017-02-28,51.3,44.6,1011.5,9.2,11.7,17.1,22.9,60.1,45.0,0.01,999.9,0,631
3,2017,03,01,2017-03-01,47.1,43.8,999.3,5.6,9.4,24.1,32.1,60.1,32.0,0.64,999.9,1,742
4,2017,03,02,2017-03-02,32.0,20.8,1022.0,9.1,10.6,20.0,28.9,34.0,28.9,0.08,999.9,0,629
5,2017,03,03,2017-03-03,27.5,7.5,1032.8,9.9,10.6,15.0,21.0,35.1,21.0,0.0,999.9,0,673
6,2017,03,04,2017-03-04,33.2,22.3,1033.7,8.8,9.4,18.1,21.0,42.1,21.9,0.01,999.9,0,633
7,2017,03,05,2017-03-05,41.4,28.8,1024.6,10.0,12.8,19.0,25.1,60.1,28.2,0.0,999.9,0,662
1,2017,03,06,2017-03-06,54.8,46.9,1013.2,10.0,16.0,22.9,35.0,61.0,52.0,0.0,999.9,0,683
2,2017,03,07,2017-03-07,55.1,40.9,1007.8,9.7,20.4,27.0,42.9,64.9,44.1,0.24,999.9,0,683
3,2017,03,08,2017-03-08,46.3,20.1,1014.2,10.0,18.9,31.1,48.0,64.9,41.0,0.0,999.9,0,667
4,2017,03,09,2017-03-09,39.0,19.4,1021.1,10.0,7.6,17.1,25.1,53.1,28.9,0.0,999.9,0,676
5,2017,03,10,2017-03-10,31.8,7.7,1026.7,10.0,11.8,17.1,22.9,42.1,26.1,0.0,999.9,0,666
6,2017,03,11,2017-03-11,24.0,-5.0,1032.2,10.0,8.7,13.0,999.9,37.0,18.0,0.0,999.9,0,659
7,2017,03,12,2017-03-12,26.5,3.0,1031.6,10.0,4.7,13.0,999.9,36.0,18.0,0.0,999.9,0,553
1,2017,03,13,2017-03-13,29.5,22.1,1024.5,4.8,9.6,15.0,20.0,36.0,18.0,0.13,2.0,0,541
2,2017,03,14,2017-03-14,25.2,17.3,1026.2,4.6,12.5,19.0,25.1,30.9,19.0,0.32,3.9,1,474
3,2017,03,15,2017-03-15,23.5,7.0,1028.4,10.0,10.9,15.0,21.0,33.1,16.0,0.03,2.0,0,608
4,2017,03,16,2017-03-16,29.0,10.9,1026.9,10.0,5.5,8.9,999.9,42.1,16.0,0.0,1.2,0,668
5,2017,03,17,2017-03-17,38.2,30.1,1019.4,7.0,8.1,13.0,999.9,50.0,19.2,0.03,1.2,0,709
6,2017,03,18,2017-03-18,42.3,32.0,1019.0,9.6,11.9,17.1,29.9,50.0,36.0,0.0,999.9,0,674
7,2017,03,19,2017-03-19,40.8,29.5,1026.8,10.0,5.6,11.1,999.9,53.1,28.9,0.0,999.9,0,605
1,2017,03,20,2017-03-20,48.6,38.3,1017.2,9.2,8.8,17.1,26.0,54.0,29.1,0.13,999.9,0,696
2,2017,03,21,2017-03-21,43.7,29.0,1021.2,9.7,8.1,13.0,18.1,54.0,35.1,0.0,999.9,0,650
3,2017,03,22,2017-03-22,33.5,19.3,1032.8,10.0,12.9,20.0,28.0,37.9,28.9,0.0,999.9,0,647
4,2017,03,23,2017-03-23,36.8,20.4,1029.2,10.0,9.7,17.1,24.1,50.0,28.0,0.0,999.9,0,666
5,2017,03,24,2017-03-24,58.3,39.3,1014.2,10.0,12.5,22.0,29.9,82.0,29.1,0.02,999.9,0,779
6,2017,03,25,2017-03-25,42.7,37.9,1017.0,6.9,11.8,18.1,19.0,46.0,41.0,0.16,999.9,0,695
7,2017,03,26,2017-03-26,51.3,47.2,1011.7,4.5,6.8,11.1,15.9,62.1,41.0,0.56,999.9,0,702
1,2017,03,27,2017-03-27,50.4,46.8,1012.3,5.0,6.1,13.0,999.9,62.1,45.0,0.29,999.9,1,722
2,2017,03,28,2017-03-28,43.8,36.6,1017.9,9.9,9.3,12.0,28.0,52.0,41.0,0.0,999.9,0,673
3,2017,03,29,2017-03-29,40.9,34.7,1022.9,6.7,9.0,17.1,20.0,50.0,35.1,0.0,999.9,1,669
4,2017,03,30,2017-03-30,43.3,39.1,1011.7,6.8,12.1,19.0,29.9,48.9,35.1,0.91,999.9,0,691
5,2017,03,31,2017-03-31,39.3,35.8,1008.9,6.0,14.1,19.0,27.0,45.0,37.0,1.13,999.9,0,777
6,2017,04,01,2017-04-01,44.6,26.3,1020.6,10.0,5.8,9.9,999.9,59.0,34.0,0.02,999.9,0,831
7,2017,04,02,2017-04-02,49.7,27.1,1020.8,10.0,4.9,9.9,19.0,61.0,34.0,0.0,999.9,0,690
1,2017,04,03,2017-04-03,50.4,39.7,1006.7,8.9,6.2,12.0,999.9,61.0,42.1,0.17,999.9,0,697
2,2017,04,04,2017-04-04,48.9,43.3,1001.4,8.0,8.9,13.0,999.9,55.9,46.0,0.2,999.9,0,712
3,2017,04,05,2017-04-05,44.8,39.3,1012.0,6.9,9.9,22.9,32.1,55.9,39.9,0.09,999.9,0,633
4,2017,04,06,2017-04-06,42.9,33.8,1008.4,8.7,17.5,24.1,33.0,50.0,37.4,1.55,999.9,0,668
5,2017,04,07,2017-04-07,43.8,22.4,1017.9,10.0,11.1,15.9,22.0,54.0,37.0,0.29,999.9,0,705
6,2017,04,08,2017-04-08,49.9,27.1,1016.1,10.0,9.3,21.0,26.0,68.0,37.0,0.0,999.9,0,696
7,2017,04,09,2017-04-09,64.1,44.1,1007.9,10.0,15.7,24.1,34.0,75.9,57.0,0.0,999.9,0,761
1,2017,04,10,2017-04-10,68.8,53.2,1006.4,9.9,15.7,22.0,38.1,78.1,46.9,0.0,999.9,0,683
2,2017,04,11,2017-04-11,46.8,39.6,1019.2,7.3,8.7,14.0,20.0,53.1,42.1,0.32,999.9,1,703
3,2017,04,12,2017-04-12,47.7,35.7,1027.2,10.0,5.5,12.0,999.9,59.0,36.0,0.0,999.9,0,727
4,2017,04,13,2017-04-13,49.7,33.7,1026.9,9.5,8.6,14.0,24.1,59.0,42.1,0.07,999.9,0,665
5,2017,04,14,2017-04-14,54.1,41.1,1023.2,10.0,7.7,8.9,999.9,66.0,46.9,0.12,999.9,0,773
6,2017,04,15,2017-04-15,69.7,54.7,1014.9,9.5,12.9,26.0,35.0,82.0,46.9,0.06,999.9,0,817
7,2017,04,16,2017-04-16,68.1,52.5,1012.2,9.3,12.2,21.0,35.0,82.0,59.0,0.68,999.9,0,687
1,2017,04,17,2017-04-17,58.8,35.5,1020.0,10.0,6.0,12.0,999.9,73.0,44.1,0.59,999.9,0,752
2,2017,04,18,2017-04-18,55.4,39.2,1020.4,10.0,9.3,22.0,28.9,75.9,41.0,0.0,999.9,0,735
3,2017,04,19,2017-04-19,64.7,52.7,1015.4,10.0,8.5,14.0,999.9,75.9,41.0,0.0,999.9,0,758
4,2017,04,20,2017-04-20,56.5,46.6,1012.2,10.0,11.3,21.0,29.9,73.0,45.0,0.01,999.9,0,713
5,2017,04,21,2017-04-21,50.4,35.4,1016.6,10.0,12.7,17.1,29.9,57.9,44.1,0.0,999.9,0,815
6,2017,04,22,2017-04-22,49.7,29.8,1021.7,10.0,9.4,14.0,15.0,60.1,42.1,0.0,999.9,0,701
7,2017,04,23,2017-04-23,54.5,26.3,1019.9,10.0,3.5,11.1,999.9,72.0,37.0,0.0,999.9,0,703
1,2017,04,24,2017-04-24,55.3,34.4,1015.4,10.0,7.2,12.0,999.9,73.0,37.0,0.0,999.9,0,736
2,2017,04,25,2017-04-25,63.7,43.5,1005.3,10.0,9.2,15.9,22.9,79.0,39.9,0.0,999.9,0,757
3,2017,04,26,2017-04-26,69.5,54.1,998.1,10.0,11.9,18.1,27.0,79.0,52.0,0.0,999.9,0,758
4,2017,04,27,2017-04-27,54.3,48.3,999.0,8.7,12.0,22.9,28.9,73.9,44.1,0.35,999.9,0,716
5,2017,04,28,2017-04-28,48.4,38.2,1011.8,9.8,6.5,14.0,17.1,62.1,39.9,0.01,999.9,0,832
6,2017,04,29,2017-04-29,45.5,36.9,1018.7,8.2,13.7,21.0,28.0,55.0,39.2,0.0,999.9,0,616
7,2017,04,30,2017-04-30,43.6,41.3,1013.1,3.4,14.3,27.0,35.0,46.9,39.9,2.03,999.9,0,657
1,2017,05,01,2017-05-01,49.6,43.5,998.0,7.6,10.1,19.0,28.9,57.0,43.0,1.24,999.9,1,863
2,2017,05,02,2017-05-02,45.8,37.8,1004.4,9.6,15.8,19.0,28.9,57.0,41.0,0.1,999.9,0,689
3,2017,05,03,2017-05-03,47.6,33.4,1019.3,10.0,5.8,12.0,999.9,55.9,35.1,0.01,999.9,0,739
4,2017,05,04,2017-05-04,48.7,34.5,1016.7,10.0,8.9,15.9,20.0,55.9,35.1,0.0,999.9,0,741
5,2017,05,05,2017-05-05,49.1,37.3,1010.9,10.0,12.0,21.0,31.1,61.0,41.0,0.0,999.9,0,799
6,2017,05,06,2017-05-06,51.0,36.2,1009.1,9.9,10.3,19.0,28.0,61.0,41.0,0.11,999.9,0,713
7,2017,05,07,2017-05-07,48.3,24.6,1015.4,10.0,8.3,13.0,17.1,59.0,36.0,0.0,999.9,0,630
1,2017,05,08,2017-05-08,46.1,25.8,1019.4,10.0,5.5,11.1,15.0,59.0,34.0,0.0,999.9,0,705
2,2017,05,09,2017-05-09,48.1,33.2,1015.0,9.8,6.3,9.9,999.9,61.0,34.0,0.15,999.9,0,707
3,2017,05,10,2017-05-10,55.0,38.7,1014.0,9.5,5.3,12.0,999.9,66.9,42.1,0.13,999.9,0,663
4,2017,05,11,2017-05-11,54.8,46.7,1013.5,6.6,9.5,17.1,19.0,66.9,44.1,0.87,999.9,0,737
